"trackingID","rentalorderid","status","currentLocation","courierName","lastUpdateDate","additionalComments"
"trackingid1023","gamerentalorder1023","Delayed","Detroit,MI","FedEx","2015-12-27 23:56:05",""
"trackingid1024","gamerentalorder1024","Ready for Pickup","Austin,TX","FedEx","2022-02-16 02:55:53",""
"trackingid1025","gamerentalorder1025","Ready for Pickup","Colorado Springs,CO","DHL","2023-03-31 22:55:03",""
"trackingid1026","gamerentalorder1026","Arrived at Facility","Wichita,KS","DHL","2021-11-29 06:03:57",""
"trackingid1027","gamerentalorder1027","Arrived at Facility","Virginia Beach,VA","UPS","2015-03-07 23:12:08",""
"trackingid1028","gamerentalorder1028","Delayed","Austin,TX","USPS","2018-12-13 10:47:30",""
"trackingid1029","gamerentalorder1029","Out for Delivery","Oakland,CA","USPS","2016-08-26 14:03:20",""
"trackingid1030","gamerentalorder1030","Arrived at Facility","Chicago,IL","DHL","2014-12-09 14:58:03",""
"trackingid1031","gamerentalorder1031","In Transit","Jacksonville,FL","USPS","2012-02-08 10:25:16",""
"trackingid1032","gamerentalorder1032","Out for Delivery","Chicago,IL","USPS","2018-09-06 05:59:31",""
"trackingid1033","gamerentalorder1033","Arrived at Facility","Miami,FL","FedEx","2013-03-26 20:48:55",""
"trackingid1034","gamerentalorder1034","Attempted Delivery","Oklahoma City,OK","DHL","2013-10-08 23:21:54",""
"trackingid1035","gamerentalorder1035","Returned to Sender","New Orleans,LA","TNT","2017-09-05 13:13:43",""
"trackingid1036","gamerentalorder1036","Arrived at Facility","Los Angeles,CA","DHL","2012-12-29 08:55:02",""
"trackingid1037","gamerentalorder1037","In Transit","New Orleans,LA","TNT","2013-12-30 17:40:36",""
"trackingid1038","gamerentalorder1038","Delivered","San Francisco,CA","FedEx","2013-11-27 04:55:16",""
"trackingid1039","gamerentalorder1039","Arrived at Facility","Los Angeles,CA","UPS","2021-06-16 20:03:43",""
"trackingid1040","gamerentalorder1040","Ready for Pickup","Baltimore,MD","USPS","2018-08-17 02:05:25",""
"trackingid1041","gamerentalorder1041","Ready for Pickup","Washington,DC","FedEx","2021-07-24 15:58:59",""
"trackingid1042","gamerentalorder1042","Ready for Pickup","Atlanta,GA","USPS","2014-06-14 03:02:19",""
"trackingid1043","gamerentalorder1043","Delivered","Memphis,TN","UPS","2013-08-19 12:47:05",""
"trackingid1044","gamerentalorder1044","Ready for Pickup","Las Vegas,NV","UPS","2012-04-19 03:49:11",""
"trackingid1045","gamerentalorder1045","Attempted Delivery","Albuquerque,NM","FedEx","2013-04-15 20:04:08",""
"trackingid1046","gamerentalorder1046","Arrived at Facility","San Jose,CA","UPS","2019-07-24 18:03:50",""
"trackingid1047","gamerentalorder1047","Delayed","Miami,FL","TNT","2021-10-20 13:40:05",""
"trackingid1048","gamerentalorder1048","Ready for Pickup","Colorado Springs,CO","UPS","2018-01-23 08:27:33",""
"trackingid1049","gamerentalorder1049","Out for Delivery","Tucson,AZ","USPS","2015-10-19 02:29:35",""
"trackingid1050","gamerentalorder1050","Delayed","Fort Worth,TX","USPS","2023-07-11 14:25:30",""
"trackingid1051","gamerentalorder1051","Delivered","Raleigh,NC","USPS","2017-09-27 16:06:30",""
"trackingid1052","gamerentalorder1052","Attempted Delivery","Miami,FL","USPS","2019-10-15 15:02:14",""
"trackingid1053","gamerentalorder1053","Out for Delivery","Tulsa,OK","TNT","2016-02-28 07:39:25",""
"trackingid1054","gamerentalorder1054","Out for Delivery","Kansas City,MO","DHL","2023-06-19 01:39:23",""
"trackingid1055","gamerentalorder1055","Out for Delivery","San Francisco,CA","FedEx","2015-12-26 22:44:09",""
"trackingid1056","gamerentalorder1056","Out for Delivery","Oakland,CA","USPS","2012-01-26 16:08:40",""
"trackingid1057","gamerentalorder1057","Delayed","El Paso,TX","UPS","2012-05-21 23:45:21",""
"trackingid1058","gamerentalorder1058","Delayed","Washington,DC","USPS","2014-08-03 14:03:27",""
"trackingid1059","gamerentalorder1059","Arrived at Facility","Wichita,KS","UPS","2012-09-25 16:17:51",""
"trackingid1060","gamerentalorder1060","Ready for Pickup","Virginia Beach,VA","UPS","2014-09-01 16:42:35",""
"trackingid1061","gamerentalorder1061","Returned to Sender","Oklahoma City,OK","USPS","2012-11-13 04:44:30",""
"trackingid1062","gamerentalorder1062","Arrived at Facility","Raleigh,NC","TNT","2013-01-19 20:13:05",""
"trackingid1063","gamerentalorder1063","Arrived at Facility","San Francisco,CA","UPS","2014-02-17 09:47:58",""
"trackingid1064","gamerentalorder1064","Attempted Delivery","Fresno,CA","UPS","2018-06-30 15:19:13",""
"trackingid1065","gamerentalorder1065","Attempted Delivery","Albuquerque,NM","USPS","2014-04-02 14:17:27",""
"trackingid1066","gamerentalorder1066","Ready for Pickup","Detroit,MI","UPS","2017-04-15 20:28:47",""
"trackingid1067","gamerentalorder1067","Returned to Sender","Las Vegas,NV","UPS","2017-03-21 03:09:53",""
"trackingid1068","gamerentalorder1068","Attempted Delivery","Los Angeles,CA","USPS","2014-02-20 16:45:26",""
"trackingid1069","gamerentalorder1069","Ready for Pickup","Jacksonville,FL","USPS","2017-01-16 12:27:39",""
"trackingid1070","gamerentalorder1070","Ready for Pickup","Colorado Springs,CO","FedEx","2018-03-06 12:33:29",""
"trackingid1071","gamerentalorder1071","Delayed","Dallas,TX","TNT","2016-07-11 05:37:46",""
"trackingid1072","gamerentalorder1072","In Transit","Jacksonville,FL","TNT","2014-02-02 05:10:02",""
"trackingid1073","gamerentalorder1073","Delayed","Detroit,MI","UPS","2020-05-19 09:27:53",""
"trackingid1074","gamerentalorder1074","Returned to Sender","Dallas,TX","TNT","2021-06-27 16:01:39",""
"trackingid1075","gamerentalorder1075","Attempted Delivery","San Jose,CA","UPS","2018-01-26 11:05:35",""
"trackingid1076","gamerentalorder1076","Returned to Sender","Albuquerque,NM","FedEx","2021-07-09 09:00:29",""
"trackingid1077","gamerentalorder1077","Arrived at Facility","Fresno,CA","USPS","2016-06-12 12:02:18",""
"trackingid1078","gamerentalorder1078","Arrived at Facility","Arlington,TX","USPS","2016-03-26 18:50:49",""
"trackingid1079","gamerentalorder1079","Returned to Sender","Washington,DC","USPS","2012-06-22 16:21:11",""
"trackingid1080","gamerentalorder1080","In Transit","Long Beach,CA","TNT","2013-07-15 17:05:52",""
"trackingid1081","gamerentalorder1081","In Transit","Los Angeles,CA","FedEx","2015-12-16 16:21:47",""
"trackingid1083","gamerentalorder1083","Returned to Sender","Mesa,AZ","TNT","2013-10-27 18:49:16",""
"trackingid1084","gamerentalorder1084","Attempted Delivery","Portland,OR","FedEx","2019-12-26 12:11:48",""
"trackingid1085","gamerentalorder1085","Delayed","Oklahoma City,OK","FedEx","2021-10-25 13:45:33",""
"trackingid1086","gamerentalorder1086","Delivered","Los Angeles,CA","FedEx","2019-10-22 10:31:28",""
"trackingid1087","gamerentalorder1087","In Transit","Milwaukee,WI","FedEx","2023-05-10 16:40:48",""
"trackingid1088","gamerentalorder1088","Out for Delivery","Columbus,OH","USPS","2017-08-02 21:30:33",""
"trackingid1090","gamerentalorder1090","Arrived at Facility","Louisville,KY","DHL","2023-11-27 10:27:53",""
"trackingid1091","gamerentalorder1091","Delayed","Charlotte,NC","FedEx","2022-10-04 02:30:36",""
"trackingid1092","gamerentalorder1092","Returned to Sender","Jacksonville,FL","DHL","2014-03-17 22:48:29",""
"trackingid1093","gamerentalorder1093","Out for Delivery","Kansas City,MO","DHL","2017-02-01 23:00:20",""
"trackingid1094","gamerentalorder1094","Returned to Sender","Memphis,TN","FedEx","2022-07-21 13:36:12",""
"trackingid1095","gamerentalorder1095","Ready for Pickup","Washington,DC","DHL","2023-05-11 22:25:45",""
"trackingid1096","gamerentalorder1096","Arrived at Facility","Long Beach,CA","TNT","2022-06-28 18:21:11",""
"trackingid1097","gamerentalorder1097","Arrived at Facility","Portland,OR","UPS","2019-04-19 16:32:17",""
"trackingid1098","gamerentalorder1098","In Transit","Boston,MA","UPS","2015-09-17 05:20:02",""
"trackingid1099","gamerentalorder1099","Delayed","San Jose,CA","FedEx","2022-11-03 16:50:40",""
"trackingid1100","gamerentalorder1100","In Transit","Minneapolis,MN","USPS","2021-12-12 03:25:06",""
"trackingid1101","gamerentalorder1101","Out for Delivery","Columbus,OH","FedEx","2015-03-26 00:02:45",""
"trackingid1102","gamerentalorder1102","Delayed","Kansas City,MO","USPS","2015-09-23 19:37:43",""
"trackingid1103","gamerentalorder1103","Ready for Pickup","Seattle,WA","UPS","2020-11-04 23:07:20",""
"trackingid1104","gamerentalorder1104","Returned to Sender","Portland,OR","FedEx","2019-04-27 22:12:14",""
"trackingid1105","gamerentalorder1105","Ready for Pickup","Columbus,OH","TNT","2013-05-01 15:34:03",""
"trackingid1106","gamerentalorder1106","Arrived at Facility","Fresno,CA","DHL","2012-06-20 00:32:51",""
"trackingid1107","gamerentalorder1107","Out for Delivery","Jacksonville,FL","USPS","2014-12-09 06:53:09",""
"trackingid1108","gamerentalorder1108","Delivered","El Paso,TX","DHL","2013-12-14 06:03:08",""
"trackingid1109","gamerentalorder1109","Out for Delivery","Philadelphia,PA","DHL","2017-10-17 09:13:36",""
"trackingid1110","gamerentalorder1110","Attempted Delivery","Mesa,AZ","FedEx","2018-09-30 08:28:59",""
"trackingid1111","gamerentalorder1111","Out for Delivery","Oakland,CA","DHL","2022-01-18 23:20:09",""
"trackingid1112","gamerentalorder1112","Ready for Pickup","Mesa,AZ","TNT","2013-02-15 18:52:09",""
"trackingid1113","gamerentalorder1113","Attempted Delivery","El Paso,TX","DHL","2013-01-06 17:52:49",""
"trackingid1116","gamerentalorder1116","Delayed","Mesa,AZ","UPS","2022-01-08 20:21:04",""
"trackingid1117","gamerentalorder1117","Attempted Delivery","Las Vegas,NV","DHL","2016-01-15 13:48:50",""
"trackingid1118","gamerentalorder1118","Delivered","Albuquerque,NM","FedEx","2013-04-23 17:55:13",""
"trackingid1119","gamerentalorder1119","Delayed","Tucson,AZ","UPS","2014-12-26 01:22:17",""
"trackingid1120","gamerentalorder1120","Out for Delivery","Oakland,CA","UPS","2019-10-17 11:16:16",""
"trackingid1121","gamerentalorder1121","Ready for Pickup","Mesa,AZ","USPS","2016-05-17 15:24:13",""
"trackingid1122","gamerentalorder1122","Out for Delivery","Washington,DC","TNT","2015-05-12 17:22:06",""
"trackingid1124","gamerentalorder1124","Arrived at Facility","Atlanta,GA","FedEx","2016-11-18 18:11:22",""
"trackingid1125","gamerentalorder1125","In Transit","Chicago,IL","USPS","2017-06-06 03:59:50",""
"trackingid1126","gamerentalorder1126","Ready for Pickup","Nashville,TN","TNT","2017-07-04 12:46:12",""
"trackingid1127","gamerentalorder1127","Delayed","Albuquerque,NM","USPS","2020-12-15 02:11:20",""
"trackingid1128","gamerentalorder1128","Ready for Pickup","Oakland,CA","TNT","2014-01-20 14:44:38",""
"trackingid1129","gamerentalorder1129","Out for Delivery","San Francisco,CA","TNT","2018-10-04 02:12:59",""
"trackingid1130","gamerentalorder1130","In Transit","Phoenix,AZ","DHL","2022-01-03 20:50:19",""
"trackingid1131","gamerentalorder1131","Returned to Sender","Houston,TX","TNT","2017-04-15 08:41:51",""
"trackingid1132","gamerentalorder1132","Returned to Sender","Boston,MA","USPS","2020-11-24 23:41:12",""
"trackingid1133","gamerentalorder1133","Delayed","Colorado Springs,CO","TNT","2015-09-19 17:15:17",""
"trackingid1134","gamerentalorder1134","Delivered","Columbus,OH","DHL","2019-09-27 20:58:53",""
"trackingid1135","gamerentalorder1135","Returned to Sender","Long Beach,CA","DHL","2019-01-07 13:26:18",""
"trackingid1136","gamerentalorder1136","Ready for Pickup","Milwaukee,WI","USPS","2023-03-03 06:14:37",""
"trackingid1137","gamerentalorder1137","Returned to Sender","Columbus,OH","UPS","2020-10-08 22:07:51",""
"trackingid1138","gamerentalorder1138","Arrived at Facility","Philadelphia,PA","UPS","2016-04-04 01:26:02",""
"trackingid1139","gamerentalorder1139","Arrived at Facility","Jacksonville,FL","TNT","2013-10-24 16:18:47",""
"trackingid1140","gamerentalorder1140","Delayed","San Francisco,CA","FedEx","2018-04-09 20:20:14",""
"trackingid1141","gamerentalorder1141","Arrived at Facility","Indianapolis,IN","TNT","2011-12-20 20:16:33",""
"trackingid1142","gamerentalorder1142","Returned to Sender","Oakland,CA","USPS","2016-07-16 11:12:51",""
"trackingid1143","gamerentalorder1143","Delivered","Nashville,TN","USPS","2012-06-11 21:55:30",""
"trackingid1144","gamerentalorder1144","Attempted Delivery","Columbus,OH","USPS","2023-06-03 03:58:54",""
"trackingid1145","gamerentalorder1145","Attempted Delivery","San Antonio,TX","USPS","2017-09-23 03:46:01",""
"trackingid1146","gamerentalorder1146","Delayed","Minneapolis,MN","USPS","2018-05-03 14:26:05",""
"trackingid1147","gamerentalorder1147","In Transit","Albuquerque,NM","DHL","2012-03-12 23:08:08",""
"trackingid1148","gamerentalorder1148","Attempted Delivery","Charlotte,NC","UPS","2014-11-28 13:35:36",""
"trackingid1149","gamerentalorder1149","Attempted Delivery","Omaha,NE","USPS","2016-01-19 12:28:32",""
"trackingid1150","gamerentalorder1150","Arrived at Facility","Indianapolis,IN","FedEx","2023-12-07 12:30:56",""
"trackingid1151","gamerentalorder1151","Arrived at Facility","Raleigh,NC","FedEx","2012-02-07 10:38:43",""
"trackingid1152","gamerentalorder1152","Returned to Sender","Tulsa,OK","FedEx","2022-03-05 06:29:13",""
"trackingid1153","gamerentalorder1153","Delayed","Omaha,NE","FedEx","2022-10-14 03:45:11",""
"trackingid1154","gamerentalorder1154","In Transit","Fresno,CA","DHL","2021-12-08 03:21:39",""
"trackingid1155","gamerentalorder1155","Delayed","Phoenix,AZ","FedEx","2023-12-13 20:51:29",""
"trackingid1156","gamerentalorder1156","Out for Delivery","Oakland,CA","USPS","2017-09-28 02:40:57",""
"trackingid1157","gamerentalorder1157","Ready for Pickup","Oklahoma City,OK","TNT","2021-11-10 10:21:59",""
"trackingid1158","gamerentalorder1158","In Transit","Nashville,TN","FedEx","2015-02-26 22:49:30",""
"trackingid1159","gamerentalorder1159","In Transit","Colorado Springs,CO","DHL","2016-07-30 07:20:48",""
"trackingid1160","gamerentalorder1160","Delivered","Columbus,OH","DHL","2020-08-28 03:50:23",""
"trackingid1161","gamerentalorder1161","Delayed","Charlotte,NC","FedEx","2023-07-09 23:28:29",""
"trackingid1162","gamerentalorder1162","Returned to Sender","Virginia Beach,VA","TNT","2016-09-27 04:04:51",""
"trackingid1163","gamerentalorder1163","Delivered","Tucson,AZ","FedEx","2021-06-27 15:47:57",""
"trackingid1164","gamerentalorder1164","In Transit","Milwaukee,WI","DHL","2018-07-05 23:02:11",""
"trackingid1165","gamerentalorder1165","In Transit","Sacramento,CA","UPS","2020-07-31 01:26:48",""
"trackingid1166","gamerentalorder1166","In Transit","Indianapolis,IN","USPS","2020-10-31 16:05:17",""
"trackingid1167","gamerentalorder1167","Attempted Delivery","Memphis,TN","DHL","2022-11-29 22:01:09",""
"trackingid1168","gamerentalorder1168","Delayed","Denver,CO","FedEx","2013-07-13 17:14:11",""
"trackingid1169","gamerentalorder1169","Ready for Pickup","Minneapolis,MN","USPS","2016-06-03 09:12:14",""
"trackingid1170","gamerentalorder1170","Ready for Pickup","Nashville,TN","FedEx","2019-12-16 02:39:03",""
"trackingid1171","gamerentalorder1171","Delivered","Albuquerque,NM","FedEx","2023-01-11 20:03:13",""
"trackingid1172","gamerentalorder1172","In Transit","Colorado Springs,CO","UPS","2012-08-23 03:15:27",""
"trackingid1173","gamerentalorder1173","Ready for Pickup","Fort Worth,TX","USPS","2015-04-11 08:44:56",""
"trackingid1174","gamerentalorder1174","Arrived at Facility","Washington,DC","USPS","2019-08-11 15:26:37",""
"trackingid1175","gamerentalorder1175","Delayed","Sacramento,CA","UPS","2013-06-21 10:36:48",""
"trackingid1176","gamerentalorder1176","Ready for Pickup","Phoenix,AZ","DHL","2017-04-29 05:12:25",""
"trackingid1177","gamerentalorder1177","Returned to Sender","Dallas,TX","FedEx","2017-06-16 15:59:47",""
"trackingid1178","gamerentalorder1178","Delayed","Louisville,KY","TNT","2016-01-02 18:07:11",""
"trackingid1180","gamerentalorder1180","Ready for Pickup","Las Vegas,NV","FedEx","2022-12-08 00:21:21",""
"trackingid1181","gamerentalorder1181","Arrived at Facility","Milwaukee,WI","DHL","2012-07-16 11:01:50",""
"trackingid1182","gamerentalorder1182","Returned to Sender","El Paso,TX","FedEx","2013-11-23 22:53:33",""
"trackingid1183","gamerentalorder1183","Attempted Delivery","Los Angeles,CA","UPS","2021-09-13 17:27:39",""
"trackingid1184","gamerentalorder1184","Ready for Pickup","Oakland,CA","UPS","2016-04-23 13:08:31",""
"trackingid1185","gamerentalorder1185","Attempted Delivery","Phoenix,AZ","USPS","2019-12-14 17:33:37",""
"trackingid1186","gamerentalorder1186","Ready for Pickup","Oklahoma City,OK","TNT","2013-12-23 22:56:50",""
"trackingid1187","gamerentalorder1187","Out for Delivery","Las Vegas,NV","FedEx","2013-03-14 01:49:13",""
"trackingid1190","gamerentalorder1190","Returned to Sender","Washington,DC","UPS","2018-08-18 15:57:35",""
"trackingid1191","gamerentalorder1191","Attempted Delivery","Omaha,NE","TNT","2015-02-26 01:31:16",""
"trackingid1192","gamerentalorder1192","Attempted Delivery","Nashville,TN","USPS","2018-08-10 15:59:38",""
"trackingid1193","gamerentalorder1193","Attempted Delivery","Albuquerque,NM","UPS","2016-10-12 01:12:17",""
"trackingid1194","gamerentalorder1194","Arrived at Facility","Austin,TX","USPS","2019-06-15 08:10:27",""
"trackingid1195","gamerentalorder1195","Attempted Delivery","Long Beach,CA","DHL","2016-10-18 01:23:22",""
"trackingid1196","gamerentalorder1196","Arrived at Facility","Tulsa,OK","DHL","2014-11-11 10:46:57",""
"trackingid1197","gamerentalorder1197","Out for Delivery","Portland,OR","FedEx","2013-02-06 00:22:06",""
"trackingid1198","gamerentalorder1198","Out for Delivery","Austin,TX","TNT","2013-12-17 02:38:28",""
"trackingid1200","gamerentalorder1200","Ready for Pickup","Detroit,MI","UPS","2017-02-11 02:43:13",""
"trackingid1201","gamerentalorder1201","Out for Delivery","San Francisco,CA","DHL","2017-11-01 15:54:27",""
"trackingid1202","gamerentalorder1202","Ready for Pickup","Sacramento,CA","FedEx","2020-10-17 01:37:35",""
"trackingid1203","gamerentalorder1203","Ready for Pickup","Washington,DC","FedEx","2019-05-21 03:00:49",""
"trackingid1204","gamerentalorder1204","Delayed","Minneapolis,MN","USPS","2014-11-20 08:50:30",""
"trackingid1205","gamerentalorder1205","Returned to Sender","Chicago,IL","DHL","2021-06-14 22:53:26",""
"trackingid1206","gamerentalorder1206","In Transit","New York,NY","TNT","2019-12-12 07:30:46",""
"trackingid1207","gamerentalorder1207","In Transit","Tulsa,OK","DHL","2013-03-11 14:12:55",""
"trackingid1208","gamerentalorder1208","Delivered","New York,NY","USPS","2012-09-04 18:19:47",""
"trackingid1209","gamerentalorder1209","Delayed","Indianapolis,IN","USPS","2016-12-03 20:52:13",""
"trackingid1210","gamerentalorder1210","Returned to Sender","Los Angeles,CA","DHL","2018-11-11 00:15:14",""
"trackingid1211","gamerentalorder1211","Delivered","Louisville,KY","USPS","2021-05-26 10:33:09",""
"trackingid1212","gamerentalorder1212","Delivered","Washington,DC","DHL","2012-01-11 10:47:11",""
"trackingid1213","gamerentalorder1213","Delayed","Philadelphia,PA","UPS","2012-08-29 03:04:23",""
"trackingid1214","gamerentalorder1214","In Transit","San Diego,CA","DHL","2018-10-03 00:06:41",""
"trackingid1215","gamerentalorder1215","Returned to Sender","Louisville,KY","DHL","2019-11-19 15:17:44",""
"trackingid1216","gamerentalorder1216","In Transit","Arlington,TX","USPS","2014-04-08 14:39:17",""
"trackingid1217","gamerentalorder1217","Delivered","Tucson,AZ","USPS","2013-11-05 10:06:57",""
"trackingid1218","gamerentalorder1218","Returned to Sender","Chicago,IL","FedEx","2019-03-20 11:30:13",""
"trackingid1219","gamerentalorder1219","Delivered","Sacramento,CA","FedEx","2017-08-24 05:03:36",""
"trackingid1220","gamerentalorder1220","Attempted Delivery","Phoenix,AZ","UPS","2013-01-29 18:01:37",""
"trackingid1221","gamerentalorder1221","Delayed","Oklahoma City,OK","FedEx","2023-11-29 05:50:51",""
"trackingid1222","gamerentalorder1222","Ready for Pickup","Omaha,NE","DHL","2017-12-08 03:00:27",""
"trackingid1223","gamerentalorder1223","Returned to Sender","Jacksonville,FL","USPS","2018-07-10 08:09:31",""
"trackingid1224","gamerentalorder1224","Returned to Sender","Washington,DC","FedEx","2014-09-20 04:50:02",""
"trackingid1225","gamerentalorder1225","Ready for Pickup","Oakland,CA","FedEx","2021-11-02 20:54:22",""
"trackingid1226","gamerentalorder1226","Delivered","Washington,DC","UPS","2018-12-14 13:10:10",""
"trackingid1227","gamerentalorder1227","Attempted Delivery","Dallas,TX","UPS","2016-12-21 02:24:27",""
"trackingid1228","gamerentalorder1228","Arrived at Facility","Long Beach,CA","DHL","2018-01-10 22:26:30",""
"trackingid1229","gamerentalorder1229","Ready for Pickup","Houston,TX","USPS","2020-09-25 00:43:10",""
"trackingid1231","gamerentalorder1231","In Transit","Atlanta,GA","FedEx","2021-10-20 23:05:46",""
"trackingid1232","gamerentalorder1232","Delivered","Oklahoma City,OK","USPS","2016-07-13 05:00:33",""
"trackingid1233","gamerentalorder1233","Ready for Pickup","Oakland,CA","USPS","2015-08-24 14:24:25",""
"trackingid1234","gamerentalorder1234","Ready for Pickup","Virginia Beach,VA","FedEx","2022-11-30 20:11:41",""
"trackingid1235","gamerentalorder1235","Returned to Sender","Fort Worth,TX","UPS","2019-07-19 17:37:51",""
"trackingid1236","gamerentalorder1236","In Transit","Fort Worth,TX","FedEx","2017-12-15 10:01:05",""
"trackingid1237","gamerentalorder1237","In Transit","El Paso,TX","USPS","2023-04-24 20:15:02",""
"trackingid1238","gamerentalorder1238","Delayed","Memphis,TN","TNT","2012-10-29 12:46:35",""
"trackingid1239","gamerentalorder1239","In Transit","Tulsa,OK","TNT","2017-12-04 10:19:04",""
"trackingid1240","gamerentalorder1240","Ready for Pickup","Oakland,CA","DHL","2014-05-04 04:33:12",""
"trackingid1241","gamerentalorder1241","Arrived at Facility","El Paso,TX","FedEx","2012-06-20 23:57:44",""
"trackingid1242","gamerentalorder1242","Out for Delivery","Virginia Beach,VA","FedEx","2022-11-29 08:50:52",""
"trackingid1243","gamerentalorder1243","Delivered","Denver,CO","DHL","2018-08-14 12:08:33",""
"trackingid1244","gamerentalorder1244","Out for Delivery","San Diego,CA","DHL","2018-12-04 13:02:44",""
"trackingid1246","gamerentalorder1246","Out for Delivery","Miami,FL","USPS","2019-06-27 00:04:31",""
"trackingid1247","gamerentalorder1247","Ready for Pickup","Detroit,MI","FedEx","2020-07-22 10:39:10",""
"trackingid1248","gamerentalorder1248","Out for Delivery","Arlington,TX","USPS","2016-04-26 21:43:19",""
"trackingid1249","gamerentalorder1249","In Transit","Detroit,MI","DHL","2015-06-29 16:39:21",""
"trackingid1250","gamerentalorder1250","Attempted Delivery","Nashville,TN","FedEx","2021-06-15 10:15:49",""
"trackingid1252","gamerentalorder1252","In Transit","Fort Worth,TX","USPS","2020-12-15 23:49:51",""
"trackingid1253","gamerentalorder1253","Delayed","Memphis,TN","DHL","2019-03-11 09:04:35",""
"trackingid1254","gamerentalorder1254","Returned to Sender","Dallas,TX","FedEx","2018-12-14 22:21:49",""
"trackingid1255","gamerentalorder1255","Returned to Sender","Washington,DC","DHL","2014-09-18 06:19:28",""
"trackingid1256","gamerentalorder1256","Out for Delivery","Denver,CO","FedEx","2013-06-22 06:15:11",""
"trackingid1257","gamerentalorder1257","Ready for Pickup","Arlington,TX","TNT","2015-05-26 03:51:17",""
"trackingid1258","gamerentalorder1258","Delayed","Long Beach,CA","UPS","2012-06-17 01:32:55",""
"trackingid1259","gamerentalorder1259","In Transit","Jacksonville,FL","UPS","2022-01-05 22:07:14",""
"trackingid1260","gamerentalorder1260","Delayed","Charlotte,NC","UPS","2012-01-03 04:17:46",""
"trackingid1261","gamerentalorder1261","Out for Delivery","Milwaukee,WI","DHL","2023-03-31 06:17:53",""
"trackingid1262","gamerentalorder1262","Returned to Sender","Columbus,OH","TNT","2021-09-02 01:30:37",""
"trackingid1263","gamerentalorder1263","Attempted Delivery","Austin,TX","FedEx","2020-06-09 20:37:02",""
"trackingid1264","gamerentalorder1264","Delivered","Detroit,MI","USPS","2012-12-23 21:38:30",""
"trackingid1265","gamerentalorder1265","Out for Delivery","Miami,FL","FedEx","2013-08-13 07:40:13",""
"trackingid1266","gamerentalorder1266","Delayed","Oklahoma City,OK","USPS","2013-01-31 20:56:09",""
"trackingid1267","gamerentalorder1267","Attempted Delivery","Austin,TX","FedEx","2019-04-12 11:19:46",""
"trackingid1268","gamerentalorder1268","Delivered","Atlanta,GA","TNT","2013-11-30 22:14:55",""
"trackingid1269","gamerentalorder1269","Arrived at Facility","Fresno,CA","USPS","2018-07-27 20:39:22",""
"trackingid1270","gamerentalorder1270","Out for Delivery","Virginia Beach,VA","DHL","2015-09-27 06:46:35",""
"trackingid1271","gamerentalorder1271","Out for Delivery","Denver,CO","FedEx","2015-11-10 20:09:56",""
"trackingid1272","gamerentalorder1272","Arrived at Facility","Philadelphia,PA","FedEx","2015-05-09 07:38:11",""
